Country Name,Year,Log of GDP per capita,Life Expectancy at 0 Log,Life Expectancy at 40 Log,Life Expectancy at 60 Log,Life Expectancy at 65 Log,Life Expectancy at 80 Log
Latvia,2019,10.468134972837156,4.322645522940706,3.6149637711637683,3.0204248861443626,2.8273136219290276,2.0731719286662407
Latvia,2020,10.439838729023476,4.319956608959651,3.6054978451748854,3.0007198150650303,2.806386101823072,2.0412203288596382
Lithuania,2000,9.665053218280974,4.276937085079213,3.5539184686798193,2.952302715626655,2.7536607123542622,1.9671123567059163
Lithuania,2001,9.736119038081458,4.271912290094185,3.543853682063679,2.9444389791664403,2.744060638625243,1.9315214116032138
Lithuania,2002,9.809183571943548,4.273340813115203,3.543853682063679,2.93651291389402,2.740840023925201,1.916922612182061
Lithuania,2003,9.917621236793497,4.277512644084807,3.5467396869528134,2.9496883350525844,2.750470916986162,1.9315214116032138
Lithuania,2004,9.991845075356428,4.276123966661356,3.5467396869528134,2.952302715626655,2.760009940032921,1.9671123567059163
Lithuania,2005,10.082600407782197,4.266246165760324,3.5322256440685598,2.9338568698359038,2.744060638625243,1.9387416595767006
Lithuania,2006,10.169912099044778,4.26346967155038,3.5234150143864045,2.9311937524164198,2.747270914255491,1.9600947840472698
Lithuania,2007,10.286853436006124,4.2612704335380815,3.521938999358284,2.9311937524164198,2.750470916986162,1.9740810260220096
Lithuania,2008,10.322800746427758,4.274054310099527,3.5409593240373143,2.9575110607337933,2.772588722239781,1.9947003132247452
Lithuania,2009,10.173282169588699,4.289289361666827,3.565298392342582,2.9678470700644555,2.785011242238338,2.0149030205422647
Lithuania,2010,10.198514495143572,4.294127946139771,3.5681232529781366,2.9729752864313745,2.791165107812717,2.008214032391468
Lithuania,2011,10.282416573765524,4.298147818316184,3.580737295494233,2.9932291433358724,2.8094026953624978,2.0541237336955462
Lithuania,2012,10.338724330195621,4.302217639468709,3.5876769486047735,2.998229153752578,2.8124102164264526,2.0541237336955462
